filename,id,content
E:\work\OCR表格\19D_页面_21.jpg,a6,"Xi -XXX,X"
E:\work\OCR表格\19D_页面_21.jpg,a7,"Y: -XXX,X"
E:\work\OCR表格\19D_页面_21.jpg,a3,"Stand
04.08.2016"
E:\work\OCR表格\19D_页面_21.jpg,a8,"Z: -XXX,X"
E:\work\OCR表格\19D_页面_21.jpg,,
E:\work\OCR表格\19D_页面_21.jpg,b1,NennmaB
E:\work\OCR表格\19D_页面_21.jpg,b2,"Obere

Toleranz"
E:\work\OCR表格\19D_页面_21.jpg,b3,"Untere

Toleranz"
E:\work\OCR表格\19D_页面_21.jpg,b4,"Paralleli-
taet"
E:\work\OCR表格\19D_页面_21.jpg,b5,Symmetrie
E:\work\OCR表格\19D_页面_21.jpg,c0,Fuge
E:\work\OCR表格\19D_页面_21.jpg,c1,"3,5"
E:\work\OCR表格\19D_页面_21.jpg,c2,
E:\work\OCR表格\19D_页面_21.jpg,c3,"-0,5"
E:\work\OCR表格\19D_页面_21.jpg,c4,"0,5"
E:\work\OCR表格\19D_页面_21.jpg,c5,"n.rel,"
E:\work\OCR表格\19D_页面_21.jpg,d0,Buendigkeit
E:\work\OCR表格\19D_页面_21.jpg,d1,"0,0"
E:\work\OCR表格\19D_页面_21.jpg,d2,
E:\work\OCR表格\19D_页面_21.jpg,d3,"-1,0"
E:\work\OCR表格\19D_页面_21.jpg,d4,
E:\work\OCR表格\19D_页面_21.jpg,d5,"n.rel,"
E:\work\OCR表格\19D_页面_41.jpg,name,"Q-Merkmal

H10.3"
E:\work\OCR表格\19D_页面_41.jpg,part1,"Bauteil 1
Seitenteil (side part)"
E:\work\OCR表格\19D_页面_41.jpg,part2,"Bauteil 2
SBBR-Leuchte, Seite (taillamp assembly, side)"
E:\work\OCR表格\19D_页面_41.jpg,a1,"Fahrzeugtyp

VW331_4"
E:\work\OCR表格\19D_页面_41.jpg,a2,"Zeichnungs-Nr.

19D.800.965"
E:\work\OCR表格\19D_页面_41.jpg,a4,"Blatt Q41
von 069"
E:\work\OCR表格\19D_页面_41.jpg,a5,"Maszstab

5:1"
E:\work\OCR表格\19D_页面_41.jpg,a6,"Xi -XXX,X"
E:\work\OCR表格\19D_页面_41.jpg,a7,"Y: -XXX,X"
E:\work\OCR表格\19D_页面_41.jpg,a3,"Stand
04.08.2016"
E:\work\OCR表格\19D_页面_41.jpg,a8,"Z: -XXX,X"
E:\work\OCR表格\19D_页面_41.jpg,,
E:\work\OCR表格\19D_页面_41.jpg,b1,NennmaB
E:\work\OCR表格\19D_页面_41.jpg,b2,"Obere

Toleranz"
E:\work\OCR表格\19D_页面_41.jpg,b3,"Untere

Toleranz"
E:\work\OCR表格\19D_页面_41.jpg,b4,"Paralleli-
taet"
E:\work\OCR表格\19D_页面_41.jpg,b5,Symmetrie
E:\work\OCR表格\19D_页面_41.jpg,c0,Fuge
E:\work\OCR表格\19D_页面_41.jpg,c1,
E:\work\OCR表格\19D_页面_41.jpg,c2,
E:\work\OCR表格\19D_页面_41.jpg,c3,"-0,5"
E:\work\OCR表格\19D_页面_41.jpg,c4,"0,5"
