filename,id,content
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,part1,"Baum“—
Seitenteil (side part)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,part2,"Bauteil 2
SBBR-Leuchte, Seite (taillamp assembly, side)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,a1,"Fahrzeugtyp
vw331_4

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,a2,"Zeichnungs-Nr.
19D . 800 . 965

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,a4,"Blatt 041
von 069

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,a5,"Maszstab
5:1

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,a6,"X: -XXXX

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,a7,"Y: -XXXX

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,a3,"Stand
04.08.2016

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,a8,"z: -xxxx

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,,
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,b1,"Nennma

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,b2,"Obere
Toleranz

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,b3,"Untere
Toleranz

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,b4,"Paralleli-
taet

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,b5,"Symmetrie

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,c0,"Fuge

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,c1,"1.0

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,c2,"+0.5

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,c3,"-0.5

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,c4,"0.5

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,c5,"1.0

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,d0,"Buendigkeit

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,d1,"0,0

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,d2,"+0,5

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,d3,"-0,5

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,d4,"0,5

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_41.jpg,d5,"n.re1.

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,name,"F11

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,part1,"Bauteil 1
Frontklappe (engine hood)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,part2,"Bauteil 2
Scheinwerfer (headlight)

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a1,"Fahrzeugtyp
VW331_4

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a2,"Zeichnungs-Nr.
19D . 800 . 965

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a4,"Blatt 003
von 069

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a5,"Maszstab
5:1

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a6,"X: -XXXX

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a7,"Y: -xxxx

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a3,"Stand
04.08.2016

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,a8,"z: -xxxx

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,,
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b1,"Nennma

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b2,"Obere
Toleranz

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b3,"Untere
Toleranz

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b4,"Paralleli-
taet

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,b5,"Symmetrie

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c0,"Fuge

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c1,"5.8

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c2,"+0.6

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c3,"-0.6

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c4,"0.8

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,c5,"1.0

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,d0,"Buendigkeit

"
D:\career\DTAS\OCR\code\OCR表格\19D_页面_03.jpg,d1,"n.rel.

"
